Code,Area,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E09000001,City of London,"146,043","148,413","139,566","131,873","136,344","142,328","148,007","149,608","156,418","213,794","213,568","217,317","227,377","234,913","235,523","236,697","232,854","206,771","214,423","226,076","255,964","268,057","295,789","285,685","266,277","255,967","244,239","261,105","270,879","297,951","313,641","319,898","322,733","302,354","296,582","300,293","292,696","317,368","321,729","323,203","329,697","333,271","336,928","356,220","374,654","402,895","430,009","473,261","490,706","488,830","473,844","430,785","412,940","394,770","421,877","427,827","449,611","468,528","492,036","518,363","524,581","551,928","559,837","538,396","541,192","519,473","506,388","534,541","537,160","576,071","641,040","712,848","775,504","800,764","810,172","878,768","894,046","902,590","931,764","929,347","926,292","935,604","917,834","895,825","928,037","929,037","953,512","961,783","950,760"
E09000002,Barking and Dagenham,"50,615","50,589","50,972","51,680","51,680","52,225","53,081","54,582","56,222","57,561","59,655","61,633","63,874","65,240","66,133","67,879","69,544","71,789","75,688","79,887","84,111","86,119","88,526","91,287","94,451","97,706","102,893","110,959","118,795","126,389","134,500","140,558","145,661","149,022","154,088","159,705","163,828","167,318","168,396","168,923","169,663","170,589","171,827","173,401","175,139","178,076","181,970","187,503","192,859","196,730","199,339","199,395","196,942","190,499","180,768","170,769","166,483","167,337","170,149","174,817","179,018","179,947","179,734","180,056","180,165","180,735","181,356","180,689","181,471","182,516","184,691","186,136","187,943","191,799","197,574","207,119","215,810","221,029","226,261","234,226","244,126","254,179","265,260","275,923","289,176","299,383","301,708","302,686","301,518"
E09000003,Barnet,"111,019","111,312","110,356","110,408","111,203","114,975","120,432","128,540","135,580","139,499","144,040","145,082","147,673","150,357","156,951","168,247","173,356","180,110","188,261","192,566","199,147","204,361","208,277","214,894","220,955","228,524","236,210","251,457","257,942","263,565","270,943","273,805","284,178","286,704","297,238","304,788","306,902","312,526","310,959","312,970","318,450","320,737","327,188","335,510","341,937","350,127","356,644","368,148","380,566","388,585","395,526","394,071","387,784","385,149","380,570","379,779","382,143","393,511","402,312","429,068","444,386","456,996","455,169","441,515","440,755","424,052","437,962","444,920","450,269","464,213","461,061","469,762","479,968","490,858","503,791","529,833","534,786","544,387","553,199","553,003","566,874","576,762","582,039","581,036","584,202","590,823","616,325","638,641","667,593"
E09000004,Bexley,"66,294","66,237","66,892","67,535","69,941","71,221","72,937","74,479","75,484","78,094","80,639","83,464","85,497","86,471","88,083","90,888","94,395","97,244","100,934","105,975","109,347","113,406","117,275","122,120","126,216","129,499","135,772","143,049","151,225","157,175","164,153","169,996","174,984","178,153","181,582","185,180","188,354","191,430","192,471","193,632","194,798","196,380","200,220","204,376","209,006","212,040","215,892","220,484","223,771","226,419","226,108","224,553","219,495","214,607","210,149","208,169","209,521","214,078","218,041","222,241","226,616","224,495","226,643","227,258","226,283","227,661","225,891","225,289","225,465","227,935","230,453","232,324","236,952","240,225","247,206","258,740","267,268","274,668","277,861","285,822","295,262","306,399","319,770","331,444","340,626","345,354","347,505","352,460","357,779"
E09000005,Brent,"77,258","78,576","79,455","81,030","82,824","85,174","87,618","91,095","96,499","99,886","105,385","109,341","111,868","114,410","115,185","119,513","125,958","132,770","141,417","149,040","154,194","157,967","163,589","171,172","175,865","181,500","188,694","198,420","210,014","216,474","222,446","226,904","230,062","235,216","241,379","247,039","249,534","252,598","255,392","260,484","266,301","268,834","272,755","277,810","284,109","290,656","299,635","313,218","321,197","328,586","332,668","330,942","328,763","324,429","318,751","315,397","322,691","321,005","326,529","337,142","345,055","355,371","362,081","361,550","360,423","364,499","368,615","382,601","395,126","398,642","406,327","418,762","429,877","443,359","451,091","458,691","468,859","481,269","491,118","494,092","506,322","515,414","517,225","526,828","517,497","518,109","536,120","547,212","578,705"
E09000006,Bromley,"93,441","94,248","94,768","96,802","97,597","98,496","99,637","102,123","105,027","107,770","111,639","115,193","118,048","120,150","125,292","131,777","138,486","144,810","150,975","158,684","164,025","168,156","173,498","177,342","182,176","185,380","190,907","200,574","209,252","218,303","227,314","233,278","238,066","241,175","246,983","253,429","259,452","261,741","264,408","266,298","267,788","271,188","273,731","277,798","282,058","286,189","294,255","306,050","316,391","321,168","320,312","318,035","304,375","302,607","298,434","290,219","301,946","304,674","315,267","326,287","327,306","329,496","329,436","333,054","336,236","333,060","332,992","331,857","333,020","336,649","339,067","342,553","354,045","360,047","373,059","389,488","397,487","410,234","418,085","429,597","441,675","451,676","461,829","469,729","478,142","483,847","489,823","496,853","502,623"
E09000007,Camden,"151,364","150,180","155,522","164,692","168,988","176,378","181,088","182,975","193,421","198,580","206,955","219,454","220,291","222,679","225,825","237,730","248,232","262,532","278,700","293,706","311,696","320,914","326,564","335,540","339,288","342,393","349,902","366,647","377,033","379,878","389,019","382,413","377,836","383,676","386,176","396,617","411,840","420,635","432,265","445,935","440,809","456,816","465,027","471,412","492,802","509,245","524,308","552,856","562,205","575,997","614,702","630,638","656,935","663,859","626,541","601,747","600,683","625,664","630,093","686,622","716,429","733,840","747,277","737,439","724,250","709,143","725,270","745,579","780,751","785,352","792,785","827,177","836,170","858,321","889,350","915,199","966,927","984,644","996,667","1,041,169","1,040,035","1,085,177","1,088,629","1,045,917","1,063,248","1,029,438","1,082,928","1,121,810","1,099,876"
E09000008,Croydon,"71,800","72,145","73,119","74,630","75,678","77,097","78,531","81,044","83,343","85,292","88,450","91,508","94,296","97,019","99,148","103,161","107,094","110,717","116,604","121,823","128,084","131,707","135,020","140,551","144,254","149,160","156,138","163,704","172,274","178,499","184,661","191,175","196,228","199,477","203,132","206,478","209,354","212,409","215,137","218,009","218,049","218,828","220,328","224,320","230,773","234,773","238,353","243,670","247,869","250,809","254,684","255,613","253,571","252,069","242,241","234,893","233,442","238,663","244,147","249,130","254,458","254,109","255,728","255,105","256,219","254,580","258,380","261,653","262,587","266,173","263,094","266,282","271,891","275,229","283,077","292,315","300,572","309,625","318,591","328,459","340,768","350,929","357,942","366,448","372,054","377,366","385,383","395,862","399,645"
E09000009,Ealing,"91,045","90,306","90,963","93,989","97,595","99,959","103,396","108,733","112,582","116,903","121,160","123,864","126,671","129,245","135,146","144,481","153,236","159,802","167,537","172,516","176,993","180,835","184,948","194,377","196,261","201,282","207,530","217,203","227,974","232,589","237,964","236,965","238,760","243,458","247,940","255,905","260,325","264,973","268,006","270,027","271,985","274,176","278,814","287,382","292,639","298,141","304,798","313,084","327,798","335,147","340,764","339,024","327,502","322,873","317,427","322,500","328,818","334,747","338,221","344,032","350,588","352,163","357,954","368,398","375,143","376,149","384,520","386,191","397,675","403,533","411,674","423,399","427,847","447,783","460,776","486,683","501,526","506,192","507,766","509,376","524,967","539,608","542,632","546,006","553,669","552,560","568,092","577,818","578,110"
E09000010,Enfield,"78,510","77,819","79,326","80,649","82,956","85,450","89,034","92,547","95,078","97,501","98,481","100,356","102,483","103,798","106,718","110,463","113,881","117,694","122,376","128,100","133,086","137,341","142,995","149,615","154,918","158,129","162,456","170,193","178,250","187,501","194,934","200,801","205,939","206,596","210,342","215,672","220,110","225,490","228,943","228,050","228,931","229,433","234,096","242,620","244,472","247,452","252,634","259,161","267,817","273,574","276,152","273,302","271,592","267,345","263,633","265,338","266,596","270,103","272,617","278,265","284,303","289,501","287,567","284,098","285,335","280,742","287,020","292,622","295,101","303,082","300,209","303,138","309,261","313,348","323,864","338,688","350,007","363,178","371,581","378,790","389,903","404,433","419,358","438,829","450,294","459,261","464,622","461,150","463,806"
